,index,image_path,steering,throttle
0,0,learning_images//0.jpeg,0.0,0.2
1,1,learning_images//1.jpeg,-0.1981132,0.2
2,2,learning_images//2.jpeg,-1.0,0.2
3,3,learning_images//3.jpeg,-1.0,0.2
4,4,learning_images//4.jpeg,-1.0,0.2211315
5,5,learning_images//5.jpeg,-1.0,0.401112
6,6,learning_images//6.jpeg,-1.0,0.5856459
7,7,learning_images//7.jpeg,-1.0,0.8248718
8,8,learning_images//8.jpeg,-1.0,1.0
9,9,learning_images//9.jpeg,-1.0,1.0
10,10,learning_images//10.jpeg,-1.0,1.0
11,11,learning_images//11.jpeg,-1.0,1.0
12,12,learning_images//12.jpeg,-0.9528302,1.0
13,13,learning_images//13.jpeg,-0.7924529,1.0
14,14,learning_images//14.jpeg,-0.2075472,1.0
15,15,learning_images//15.jpeg,-0.2075472,1.0
16,16,learning_images//16.jpeg,-0.1037736,1.0
17,17,learning_images//17.jpeg,0.1698113,1.0
18,18,learning_images//18.jpeg,0.1981132,1.0
19,19,learning_images//19.jpeg,0.6792453,1.0
20,20,learning_images//20.jpeg,0.7075471,1.0
21,21,learning_images//21.jpeg,0.971698,1.0
22,22,learning_images//22.jpeg,0.9811321,1.0
23,23,learning_images//23.jpeg,0.9811321,1.0
24,24,learning_images//24.jpeg,0.9528302,1.0
25,25,learning_images//25.jpeg,0.9339622,1.0
26,26,learning_images//26.jpeg,0.7735849,1.0
27,27,learning_images//27.jpeg,0.2924528,1.0
28,28,learning_images//28.jpeg,-0.0754717,1.0
29,29,learning_images//29.jpeg,-0.3773585,1.0
30,30,learning_images//30.jpeg,-0.4716981,1.0
31,31,learning_images//31.jpeg,-0.5,1.0
32,32,learning_images//32.jpeg,-0.4905661,1.0
33,33,learning_images//33.jpeg,-0.5283019,1.0
34,34,learning_images//34.jpeg,-0.6132075,1.0
35,35,learning_images//35.jpeg,-0.6132075,1.0
36,36,learning_images//36.jpeg,-0.5849057,1.0
37,37,learning_images//37.jpeg,-0.03773585,1.0
38,38,learning_images//38.jpeg,0.4056604,1.0
39,39,learning_images//39.jpeg,0.5377358,1.0
40,40,learning_images//40.jpeg,0.7169811,1.0
41,41,learning_images//41.jpeg,0.7169811,1.0
42,42,learning_images//42.jpeg,0.6132075,1.0
43,43,learning_images//43.jpeg,0.4905661,1.0
44,44,learning_images//44.jpeg,0.4528302,1.0
45,45,learning_images//45.jpeg,-0.1886793,1.0
46,46,learning_images//46.jpeg,-0.5188679,1.0
47,47,learning_images//47.jpeg,-0.7547171,1.0
48,48,learning_images//48.jpeg,-0.9056604,1.0
49,49,learning_images//49.jpeg,-1.0,1.0
50,50,learning_images//50.jpeg,-1.0,1.0
51,51,learning_images//51.jpeg,-1.0,1.0
52,52,learning_images//52.jpeg,-1.0,1.0
53,53,learning_images//53.jpeg,-1.0,1.0
54,54,learning_images//54.jpeg,-0.7547171,1.0
55,55,learning_images//55.jpeg,-0.4245283,1.0
56,56,learning_images//56.jpeg,-0.03773585,1.0
57,57,learning_images//57.jpeg,0.1226415,1.0
